id,name,first_air_date,popularity,vote_average,vote_count,status,in_production,num_seasons,num_episodes,genres,type,original_language,origin_country,avg_episode_runtime,show_age_days,days_since_last_episode,keywords,last_air_date,us_content_rating,imdb_id,created_by,homepage
225385,Black Doves,2024-12-05,7.3185,7.105,352,Returning Series,True,1,6,"Action & Adventure, Mystery, Crime",Scripted,en,GB,,412.0,412.0,"holiday, espionage, female protagonist, political, spies",2024-12-05,TV-MA,tt27995113,Joe Barton,https://www.netflix.com/title/81682935
217553,The Trauma Code: Heroes on Call,2025-01-24,7.2718,8.537,123,Ended,False,2,8,"Drama, Comedy",Scripted,ko,KR,41.0,362.0,362.0,"based on novel or book, surgeon, hospital, doctor, co-workers relationship",2025-01-24,TV-MA,tt28106730,Lee Do-yoon,https://www.netflix.com/title/81677629
61886,The Adventures of Puss in Boots,2015-01-16,7.2602,7.1,87,Ended,False,6,78,"Animation, Comedy, Family, Kids",Scripted,en,US,30.0,4023.0,2910.0,"sword fight, cartoon cat, adventurer",2018-02-02,TV-Y7,tt3807034,Doug Langdale,http://www.netflix.com/WiMovie/80018988
88512,Bonding,2019-04-24,7.2521,6.896,303,Canceled,False,2,15,"Drama, Comedy",Scripted,en,US,18.0,2464.0,1820.0,"fetish, fetishism, relationship problems, dominatrix, female protagonist",2021-01-27,TV-MA,tt7718088,Rightor Doyle,https://www.netflix.com/title/81004814
249039,Black Rabbit,2025-09-18,7.2042,6.979,142,Ended,False,1,8,"Drama, Crime",Miniseries,en,"GB, US",,125.0,125.0,"new york city, sibling relationship, gambling, restaurant, bartender",2025-09-18,TV-MA,tt23055142,"Zach Baylin, Kate Susman",https://www.netflix.com/title/81630027
106651,Hellbound,2021-11-19,7.1921,7.3,970,Returning Series,True,2,12,"Drama, Mystery, Sci-Fi & Fantasy",Scripted,ko,KR,52.0,1524.0,453.0,"race against time, cult, supernatural creature, dark, religious group",2024-10-25,TV-MA,tt12235718,"Yeon Sang-ho, Choi Gyu-seok",https://www.netflix.com/title/81256675
97175,Fate: The Winx Saga,2021-01-22,7.1896,8.0,1527,Canceled,False,2,13,"Sci-Fi & Fantasy, Drama",Scripted,en,GB,50.0,1825.0,1223.0,"magic, fairy, warrior, elements, power",2022-09-16,TV-MA,tt8179402,Brian Young,https://www.netflix.com/title/80220679
249586,Amsterdam Empire,2025-10-30,7.1855,6.517,30,Returning Series,True,1,7,"Drama, Crime",Scripted,nl,"BE, NL",,83.0,83.0,"coffee shop, empire, ex-wife",2025-10-30,TV-MA,tt31835154,"Nico Moolenaar, Piet Matthys, Bart Uytdenhouwen",https://www.netflix.com/title/81654735
247784,PULSE,2025-04-03,7.1772,7.738,82,Canceled,False,1,10,Drama,Scripted,en,US,,293.0,293.0,"miami, florida, doctor, medical drama, medical resident, medical procedural",2025-04-03,TV-MA,tt31407116,Zoe Robyn,https://www.netflix.com/title/81498229
242054,The Residence,2025-03-20,7.1646,7.6,271,Canceled,False,1,8,Comedy,Scripted,en,US,,307.0,307.0,"detective, based on novel or book, the white house, anthology, murder",2025-03-20,TV-MA,tt8740614,Paul William Davies,https://www.netflix.com/title/81005297
84977,Russian Doll,2019-02-01,7.129,7.369,949,Ended,False,2,15,"Comedy, Drama",Scripted,en,US,,2546.0,1372.0,"dark comedy, family relationships, time loop, death, homeless man",2022-04-20,TV-MA,tt7520794,"Natasha Lyonne, Amy Poehler, Leslye Headland",https://www.netflix.com/title/80211627
115785,Chi's Sweet Adventure,2016-10-02,7.1186,6.5,6,Ended,False,3,88,"Animation, Kids, Comedy",Scripted,ja,JP,12.0,3398.0,551.0,"cat, child hero, based on manga, animals, 3d animation",2024-07-19,,tt6356032,,https://koneko-chi.com/
261615,Envious,2024-09-18,7.0946,7.69,79,Returning Series,True,3,33,"Comedy, Drama",Scripted,es,AR,,490.0,63.0,"midlife crisis, romcom, romance, envy, intimate",2025-11-19,TV-MA,tt29494111,,https://www.netflix.com/title/81687655
250923,Nobody Wants This,2024-09-26,7.0913,7.487,231,Returning Series,True,2,20,"Comedy, Drama",Scripted,en,US,,482.0,90.0,"rabbi, romcom, romance, los angeles, california, opposites attract",2025-10-23,TV-MA,tt26933824,Erin Foster,https://www.netflix.com/title/81591296
62626,Richie Rich,2015-02-20,7.0757,5.706,34,Canceled,False,2,21,"Family, Comedy, Kids, Drama",Scripted,en,US,21.0,3988.0,3897.0,"money, wealthy, trillionaire, rich child",2015-05-22,TV-PG,tt4160920,"Jeff Hodsden, Tim Pollock",http://www.netflix.com/WiMovie/80020540
156716,Heeramandi,2024-05-01,7.0615,5.81,21,Returning Series,True,2,8,"Drama, War & Politics",Scripted,hi,IN,,630.0,630.0,"prostitute, sexual abuse, revolution, death sentence, courtesan",2024-05-01,TV-MA,tt15204292,Sanjay Leela Bhansali,https://www.netflix.com/title/81122198
284605,The Survivors,2025-06-06,7.0464,6.7,64,Ended,False,1,6,"Drama, Mystery",Miniseries,en,AU,,229.0,229.0,"based on novel or book, miniseries",2025-06-06,TV-MA,tt28703560,"Tony Ayres, Jane Harper",https://www.netflix.com/title/81647727
278100,The Town,2025-12-11,7.0312,6.056,9,Ended,False,1,8,"Drama, Crime",Scripted,tr,TR,,41.0,41.0,,2025-12-11,TV-MA,tt24243760,"Deniz Karaoğlu, Doğu Yaşar Akal",https://www.netflix.com/title/81513522
197429,The Boss Baby: Back in the Crib,2022-05-19,7.0216,7.425,159,Canceled,False,2,28,"Animation, Comedy, Family, Kids",Scripted,en,US,,1343.0,1014.0,"based on novel or book, sequel",2023-04-13,TV-Y7,tt19361940,,https://www.netflix.com/title/81500342
95594,Fast & Furious Spy Racers,2019-12-26,7.019,6.977,2199,Ended,False,6,52,"Animation, Action & Adventure, Kids, Family",Scripted,en,US,25.0,2218.0,1496.0,"street race, computer animation, mission, race car driver, criminal",2021-12-17,TV-Y7,tt8322592,,https://www.netflix.com/title/80225085
75208,Devilman Crybaby,2018-01-05,7.0157,7.745,693,Ended,False,1,10,"Animation, Action & Adventure, Sci-Fi & Fantasy",Miniseries,ja,JP,25.0,2938.0,2938.0,"angel, philosophy, rape, shapeshifting, anti hero",2018-01-05,TV-MA,tt6660498,Go Nagai,https://devilman-crybaby.com
79410,After Life,2019-03-08,6.9997,7.887,999,Ended,False,3,18,"Comedy, Drama",Scripted,en,GB,30.0,2511.0,1468.0,"suicide, depression, husband wife relationship, sadness, grief",2022-01-14,TV-MA,tt8398600,Ricky Gervais,https://www.netflix.com/title/80998491
244243,Missing You,2025-01-01,6.9943,6.048,126,Ended,False,1,5,"Drama, Crime, Mystery",Miniseries,en,"US, GB",,385.0,385.0,"detective, based on novel or book, murder, miniseries, casual",2025-01-01,TV-MA,tt31019484,"Victoria Asare-Archer, Harlan Coben",https://www.netflix.com/title/81258639
235930,Devil May Cry,2025-04-03,6.9917,7.891,276,Returning Series,True,2,9,"Animation, Action & Adventure, Sci-Fi & Fantasy",Scripted,en,US,,293.0,293.0,"based on video game, adult animation, zealot, demon hunter, anime",2025-04-03,TV-MA,tt15716776,Adi Shankar,https://www.netflix.com/title/81506915
156898,"BASTARD‼ -Heavy Metal, Dark Fantasy-",2022-06-30,6.9867,7.6,136,Ended,False,2,39,"Animation, Action & Adventure, Sci-Fi & Fantasy",Scripted,ja,JP,24.5,1301.0,905.0,"heavy metal, remake, based on manga, combat, dark fantasy",2023-07-31,TV-MA,tt17736234,,https://bastard-anime.com
247756,The Monster of Florence,2025-10-22,6.9834,6.042,108,Ended,False,1,4,"Crime, Mystery, Drama",Miniseries,it,IT,,91.0,91.0,"based on true story, miniseries, 1980s, 1960s, thriller",2025-10-22,TV-MA,tt29457135,"Leonardo Fasoli, Stefano Sollima",https://www.netflix.com/title/81684762
